title,price_gbp,rating_word,rating_num,stock_status,stock_quantity,genre
It's Only the Himalayas,45.17,Two,2,In stock,19,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,4,In stock,15,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,3,In stock,14,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,2,In stock,8,Travel
Under the Tuscan Sun,37.33,Three,3,In stock,7,Travel
A Summer In Europe,44.34,Two,2,In stock,7,Travel
The Great Railway Bazaar,30.54,One,1,In stock,6,Travel
A Year in Provence (Provence #1),56.88,Four,4,In stock,6,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,1,In stock,3,Travel
Neither Here nor There: Travels in Europe,38.95,Three,3,In stock,3,Travel
"1,000 Places to See Before You Die",26.08,Five,5,In stock,1,Travel
Sharp Objects,47.82,Four,4,In stock,20,Mystery
"In a Dark, Dark Wood",19.63,One,1,In stock,18,Mystery
The Past Never Ends,56.5,Four,4,In stock,16,Mystery
A Murder in Time,16.64,One,1,In stock,16,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,4,In stock,15,Mystery
The Last Mile (Amos Decker #2),54.21,Two,2,In stock,14,Mystery
That Darkness (Gardiner and Renner #1),13.92,One,1,In stock,14,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,One,1,In stock,14,Mystery
A Time of Torment (Charlie Parker #14),48.35,Five,5,In stock,14,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,2,In stock,14,Mystery
Poisonous (Max Revere Novels #3),26.8,Three,3,In stock,12,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,4,In stock,12,Mystery
Most Wanted,35.28,Three,3,In stock,12,Mystery
Hide Away (Eve Duncan #20),11.84,One,1,In stock,12,Mystery
Boar Island (Anna Pigeon #19),59.48,Three,3,In stock,12,Mystery
The Widow,27.26,Two,2,In stock,11,Mystery
Playing with Fire,13.71,Three,3,In stock,11,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,5,In stock,7,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,5,In stock,7,Mystery
