title,genre,price,rating,stock_count,in_stock
It's Only the Himalayas,Travel,45.17,2,19,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,15,True
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,14,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,8,True
Under the Tuscan Sun,Travel,37.33,3,7,True
A Summer In Europe,Travel,44.34,2,7,True
The Great Railway Bazaar,Travel,30.54,1,6,True
A Year in Provence (Provence #1),Travel,56.88,4,6,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,3,True
Neither Here nor There: Travels in Europe,Travel,38.95,3,3,True
"1,000 Places to See Before You Die",Travel,26.08,5,1,True
Sharp Objects,Mystery,47.82,4,20,True
"In a Dark, Dark Wood",Mystery,19.63,1,18,True
The Past Never Ends,Mystery,56.5,4,16,True
A Murder in Time,Mystery,16.64,1,16,True
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,15,True
The Last Mile (Amos Decker #2),Mystery,54.21,2,14,True
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,14,True
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,14,True
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,14,True
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,14,True
Poisonous (Max Revere Novels #3),Mystery,26.8,3,12,True
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,12,True
Most Wanted,Mystery,35.28,3,12,True
Hide Away (Eve Duncan #20),Mystery,11.84,1,12,True
Boar Island (Anna Pigeon #19),Mystery,59.48,3,12,True
The Widow,Mystery,27.26,2,11,True
Playing with Fire,Mystery,13.71,3,11,True
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,7,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,7,True
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,7,True
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,6,True
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,6,True
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,3,True
The Exiled,Mystery,43.45,3,3,True
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,3,True
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,3,True
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,3,True
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,1,True
The Girl You Lost,Mystery,12.29,5,1,True
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,1,True
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,1,True
1st to Die (Women's Murder Club #1),Mystery,53.98,1,1,True
Tipping the Velvet,Historical Fiction,53.74,1,20,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,16,True
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,16,True
The House by the Lake,Historical Fiction,36.95,1,15,True
Mrs. Houdini,Historical Fiction,30.25,5,15,True
The Marriage of Opposites,Historical Fiction,28.08,4,14,True
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,14,True
"Love, Lies and Spies",Historical Fiction,20.55,2,12,True
A Paris Apartment,Historical Fiction,39.01,4,12,True
Lilac Girls,Historical Fiction,17.28,2,11,True
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,7,True
The Invention of Wings,Historical Fiction,37.34,1,6,True
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,5,True
The Passion of Dolssa,Historical Fiction,28.32,5,4,True
Girl With a Pearl Earring,Historical Fiction,26.77,1,4,True
Voyager (Outlander #3),Historical Fiction,21.07,5,3,True
The Red Tent,Historical Fiction,35.66,5,3,True
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,3,True
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,3,True
Girl in the Blue Coat,Historical Fiction,46.83,2,3,True
Between Shades of Gray,Historical Fiction,20.79,5,3,True
While You Were Mine,Historical Fiction,41.32,5,1,True
The Secret Healer,Historical Fiction,34.56,3,1,True
Starlark,Historical Fiction,25.83,3,1,True
Lost Among the Living,Historical Fiction,27.7,4,1,True
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,1,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,19,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,16,True
This One Summer,Sequential Art,19.49,4,16,True
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,16,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,16,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,16,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,16,True
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,16,True
Patience,Sequential Art,10.16,3,16,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,16,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,16,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,16,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,16,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,16,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2,16,True
I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,16,True
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,16,True
Danganronpa Volume 1,Sequential Art,51.99,4,16,True
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,16,True
Camp Midnight,Sequential Art,17.08,4,16,True
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,16,True
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,15,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4,15,True
Batman: The Long Halloween (Batman),Sequential Art,36.5,2,15,True
